date,cloud_cover,sunshine,global_radiation,max_temp,mean_temp,min_temp,precipitation,pressure,snow_depth
20000101,7.0,0.4,18.0,10.8,7.0,4.9,0.0,102450.0,0.0
20000102,7.0,0.7,20.0,11.5,7.9,5.0,0.2,102530.0,0.0
20000103,8.0,0.0,13.0,9.5,9.4,7.2,6.0,101860.0,0.0
20000104,5.0,2.9,34.0,11.0,7.0,4.4,0.2,101480.0,0.0
20000105,5.0,1.3,25.0,10.8,6.4,1.9,0.8,101420.0,0.0
20000106,6.0,0.6,20.0,11.0,8.9,7.0,0.0,101270.0,0.0
20000107,6.0,2.2,31.0,9.2,7.2,3.4,2.0,101720.0,0.0
20000108,4.0,6.4,52.0,7.2,7.4,5.7,0.0,101650.0,0.0
20000109,0.0,7.1,55.0,7.8,3.2,-0.7,0.2,102760.0,0.0
20000110,5.0,3.7,40.0,10.2,2.2,-3.3,0.0,103470.0,0.0
20000111,7.0,0.1,16.0,8.2,5.4,0.6,0.0,103240.0,0.0
20000112,7.0,0.0,14.0,5.0,8.0,7.8,2.8,102340.0,0.0
20000113,7.0,0.0,14.0,6.3,3.8,2.7,0.2,101540.0,0.0
20000114,6.0,4.2,45.0,6.7,2.9,-0.5,0.3,102330.0,0.0
20000115,6.0,0.9,25.0,7.2,4.6,2.6,0.0,103640.0,0.0
20000116,6.0,3.9,44.0,8.6,4.7,2.2,0.0,104050.0,0.0
20000117,5.0,3.8,44.0,8.4,4.4,0.3,0.0,103790.0,0.0
20000118,6.0,0.0,15.0,7.3,4.8,1.2,0.2,103540.0,0.0
20000119,6.0,0.6,24.0,5.3,5.4,3.6,0.0,103700.0,0.0
20000120,6.0,0.0,16.0,9.2,1.6,-2.2,0.0,103490.0,0.0
20000121,5.0,6.2,59.0,7.8,5.0,0.7,0.2,103280.0,0.0
20000122,5.0,2.1,36.0,7.3,5.2,2.6,1.2,102070.0,0.0
20000123,5.0,5.4,57.0,5.8,4.0,0.8,0.0,102420.0,0.0
20000124,5.0,6.0,61.0,3.7,3.1,0.4,0.0,102540.0,0.0
20000125,6.0,0.8,28.0,6.1,0.5,-2.7,0.0,102940.0,0.0
20000126,3.0,7.2,68.0,5.2,3.2,0.2,0.0,103270.0,0.0
