Précipitations annuelles;;Nombre annuel de jours de pluie;Température moyenne annuelle;Insolation annuelle;Géographie
653.00;;95.00;14.71;2811.00;Sud
690.00;;154.00;11.28;1899.00;Ouest
826.00;;160.00;12.02;1989.00;Ouest
1088.00;;169.00;10.04;1897.00;Est
1474.00;;177.00;13.58;1921.00;Ouest
947.00;;162.00;13.33;2076.00;Ouest
1157.00;;201.00;10.77;1757.00;Ouest
713.00;;169.00;10.45;1777.00;Nord
571.00;;132.00;10.94;1899.00;Est
734.00;;147.00;10.50;1934.00;Est
698.00;;108.00;9.49;2604.00;Sud
1005.00;;144.00;10.98;2100.00;Est
612.00;;171.00;9.73;1641.00;Nord
910.00;;165.00;10.59;1853.00;Ouest
828.00;;145.00;11.36;2036.00;Est
533.00;;76.00;14.23;2866.00;Sud
736.00;;88.00;13.89;2709.00;Sud
721.00;;161.00;9.50;1633.00;Est
809.00;;168.00;11.69;1901.00;Ouest
868.00;;86.00;14.84;2779.00;Sud
680.00;;92.00;14.18;2628.00;Sud
621.00;;156.00;10.53;1799.00;Ouest
624.00;;162.00;11.18;1814.00;Nord
629.00;;85.00;15.24;2603.00;Sud
702.00;;155.00;11.28;2024.00;Ouest
575.00;;165.00;10.06;1702.00;Est
634.00;;168.00;11.13;1835.00;Ouest
716.00;;168.00;10.34;1694.00;Nord
684.00;;164.00;9.85;1661.00;Nord
719.00;;158.00;9.72;1696.00;Est
837.00;;81.00;15.28;2917.00;Sud
656.00;;137.00;12.68;2081.00;Sud
687.00;;157.00;11.22;1859.00;Ouest
761.00;;161.00;10.72;1873.00;Est
